Lead-colored,gray,
absinthe-colored,green,
ale-colored,brown,
almond-colored,brown,
amaranth-colored,red,
amber-colored,yellow,
amethyst-colored,purple,
angry-colored,,
apple-blossom-colored,pink,
apricot-colored,orange,
ash-color,gray,
ash-colored,gray,
ashen-colored,gray,
auburn-colored,brown,
autumn-colored,brown,
aventurine-colored,brown,
azure-colored,blue,
bad-colored,,
badger-colored,gray,
bamboo-colored,green,
bark-colored,brown,
bay-color,green,
bay-colored,green,
beautiful-colored,,
beautifully-colored,,
beer-color,brown,
beetroot-colored,red,
beryl-colored,green,
bi-colored,,
bilious-colored,,
bistre-colored,brown,
black-colored,black,
blood-color,red,
blood-colored,red,
bloom-colored,red,
blossom-colored,pink,
blue-colored,blue,
blush-colored,red,
bog-colored,green,
bran-colored,brown,
brandy-colored,brown,
brass-color,yellow,
brick-colored,red,
brick-dust-colored,red,
brickdust-colored,red,
bright-colored,,
brightest-colored,,
brightly-colored,,
brilliant-colored,,
brilliantly-colored,,
brimstone-colored,yellow,
bronze-color,brown,
bronze-colored,brown,
brown-colored,brown,
brownish-colored,brown,
buff-color,,
buff-colored,,
burgundy-colored,brown,
burnet-colored,green,
butter-colored,white,
butternut-colored,orange,
cameleon-colored,green,
canarv-colored,yellow,
canary-colored,yellow,
cane-colored,yellow,
capsicum-colored,green,
carefully-colored,,
carmine-colored,red,
carnation-color,pink,
carnation-colored,pink,
carrot-colored,orange,
carrotty-colored,orange,
cedar-colored,green,
chalk-colored,white,
changing-colored,,
cheese-colored,yellow,
cheity-colored,,
chemically-colored,,
cherry-colored,red,
chesnut-colored,brown,
chestnut-colored,brown,
chinchilli-colored,red,
chintz-colored,,multi
chocolate-color,brown,
chocolate-colored,brown,
cinnamon-colored,red,
citron-colored,yellow,
ckiret-colored,,
claret-color,red,
claret-colored,red,
clay-color,gray,
clay-colored,gray,
clayed-colored,gray,
coarse-colored,,
cobweb-colored,white,
cocoon-colored,green,
coffee-colored,brown,
cool-colored,,
copper-color,brown,
copper-colored,brown,
copperas-colored,brown,
coppery-colored,brown,
coral-colored,orange,
corn-color,yellow,
corn-colored,yellow,
costly-colored,,
cotton-colored,white,
cow-colored,black,
cowslip-colored,yellow,
crane-colored,white,
cream-color,white,
cream-colored,white,
crimson-color,red,
crimson-colored,red,
crocus-colored,purple,
curious-colored,,
currant-colored,black,
currie-colored,yellow,
custard-colored,yellow,
dahlia-colored,purple,
damson-colored,purple,
dark-colored,,
darker-colored,,
darkest-colored,,
darkly-colored,,
dead-colored,,
deep-colored,,
deeper-colored,,
deeply-colored,,
delicate-colored,,
delicately-colored,,
demi-semi-colored,,
different-colored,,
differently-colored,,
dim-colored,,
dimly-colored,,
dingy-colored,,
dirt-colored,brown,
divers-colored,,
double-colored,,
dove'sneck-colored,white,
dove-color,white,
dove-colored,white,
drab-color,,
drab-colored,,
duck-egg-colored,white,
dull-colored,,
duller-colored,,
dun-color,brown,
dun-colored,brown,
dung-colored,brown,
dust-color,gray,
dust-colored,gray,
dusty-colored,gray,
dwarf-colored,,
earth-color,brown,
earth-colored,brown,
ebon-colored,brown,
ebony-colored,black,
eel-color,gray,
emerald-colored,green,
exquisitely-colored,,
fad-colored,,
faint-colored,,
faintly-colored,,
fair-colored,,
fairy-colored,,
fancy-colored,,
fast-colored,,
fawn-color,,
fawn-colored,,
fiery-colored,,
filemot-colored,brown,
filthy-colored,,
finch-colored,brown,
fine-colored,,
finely-colored,,
fire-colored,orange,
five-colored,,
flame-color,orange,
flame-colored,,
flaring-colored,,
flash-colored,,
flax-colored,brown,
flesh-colored,red,
flint-colored,gray,
flower-colored,red,multi
fog-colored,white,
fox-colored,orange,
foxy-colored,orange,
free-colored,,
fresh-colored,,
full-colored,,
fully-colored,,
gaily-colored,,
gamboge-colored,yellow,
garnet-colored,red,
gaudily-colored,,
gaudy-colored,,
gay-colored,,
gentian-colored,blue,
gentianella-colored,purple,
geranium-colored,purple,
ginger-colored,red,
gipsy-colored,,
gloomy-colored,,
glorious-colored,,
glowworm-colored,red,
gold-color,yellow,
gold-colored,yellow,
golden-colored,yellow,
gooseberry-colored,green,
gorgeous-colored,,
gorgeously-colored,,
gosling-colored,yellow,
granite-colored,gray,
grass-colored,green,
grave-colored,gray,
gray-colored,gray,
grayish-colored,gray,
green-colored,green,
greengage-colored,green,
greenish-colored,green,
guinea-colored,white,
hair-colored,,multi
half-colored,,
harlequin-colored,green,
harmoniously-colored,,
harsh-colored,,
hay-colored,yellow,
hazel-colored,brown,
heather-colored,blue,
heaven-colored,,
hectic-colored,,
high-colored,,
higher-colored,,
highest-colored,,
highly-colored,,
honey-colored,yellow,
hyacinth-colored,blue,
ice-colored,blue,
ill-colored,,
impossible-colored,,
indifferently-colored,,
indigo-color,blue,
indigo-colored,blue,
inky-colored,black,
iris-colored,purple,
iron-colored,gray,
iron-gray-colored,gray,
ivory-colored,white,
ivy-colored,green,
jackdaw-colored,black,
japonica-colored,green,
jaundice-colored,yellow,
jewel-colored,,multi
jonquil-colored,white,
kettle-colored,gray,
lapis-colored,blue,
lava-colored,red,
lavender-color,purple,
lavender-colored,purple,
lead-color,gray,
lead-colored,gray,
leaden-colored,gray,
leaf-colored,green,
leather-colored,brown,
lemon-color,yellow,
lemon-colored,yelow,
leprous-colored,white,
lichen-colored,green,
light-colored,,
lighter-colored,,
lightish-colored,,
lilac-colored,purple,
lion-colored,orange,
lively-colored,,
liver-colored,red,
loud-colored,,
lovely-colored,,
mackerel-colored,gray,
magenta-colored,purple,
mahogany-color,brown,
mahogany-colored,brown,
maize-color,yellow,
